"No.","Time","Source","Destination","Protocol","Length","Info"
"212","164.723396","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=1020 Ack=588 Win=5157 Len=26"
"213","164.774139","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=588 Ack=1046 Win=63575 Len=0"
"214","164.943497","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=1046 Ack=588 Win=5157 Len=2"
"215","164.991909","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=588 Ack=1048 Win=63573 Len=0"
"216","172.914170","192.168.100.76","192.168.100.161","TCP","54","5050  >  50212 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"217","201.588622","192.168.100.76","192.168.100.161","TCP","67","5050  >  61789 [PSH, ACK] Seq=588 Ack=1048 Win=63573 Len=13"
"218","201.996148","192.168.100.76","192.168.100.161","TCP","67","[TCP Retransmission] 5050  >  61789 [PSH, ACK] Seq=588 Ack=1048 Win=63573 Len=13"
"219","202.063685","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=1048 Ack=601 Win=5144 Len=0"
"220","202.652474","192.168.100.161","192.168.100.76","TCP","81","61789  >  5050 [PSH, ACK] Seq=1048 Ack=601 Win=5144 Len=27"
"221","202.696105","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=601 Ack=1075 Win=63546 Len=0"
"222","202.704216","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=1075 Ack=601 Win=5144 Len=2"
"223","202.757495","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=601 Ack=1077 Win=63544 Len=0"
